"İllere ve konularına göre halk kütüphanelerindeki kitap sayısı, 2022",,,,,,,,,,,
"The number of books in public libraries by province and subject, 2022",,,,,,,,,,,
,Toplam                                                          Total                                                    ,Genel                                                            Generalities,Felsefe ve psikoloji                                     Philosophy and psychology,Din                                                              Religion,Sosyal bilimler                                                   Social sciences,Dil ve dil bilim                           Language and linguistics,"Doğa bilimleri ve matematik                                       Natural sciences 
and mathematics",Uygulamalı bilimler ve teknoloji                                                                Applied sciences and technology,Sanat                                                      The arts,Edebiyat ve retorik                    Literature and rhetoric,"Coğrafya, tarih ve yardımcı disiplinler Geography, history and subsidiary disciplines"

İl,,,,,,,,,,,
Province,,,,,,,,,,,
Türkiye, 23 091 168,  921 142,  772 137, 1 420 944, 4 403 887,  400 450,  486 795,  785 370,  968 151, 10 706 724, 2 225 568
Elazığ,  228 718,  9 830,  8 319,  13 683,  40 558,  3 154,  4 226,  5 838,  6 743,  110 162,  26 205
Bingöl,  156 608,  4 898,  6 155,  10 877,  28 263,  2 062,  2 396,  4 464,  5 916,  75 189,  16 388
Tunceli,  103 756,  1 294,  4 124,  5 566,  23 990,  1 224,  1 414,  2 460,  3 476,  52 215,  7 993
Van,  199 000,  3 865,  7 779,  13 236,  33 240,  2 900,  3 651,  6 238,  6 960,  104 558,  16 573
Muş,  159 681,  4 541,  5 665,  10 367,  29 150,  2 581,  2 969,  5 029,  5 518,  80 175,  13 686
Bitlis,  166 117,  3 033,  7 166,  14 797,  31 571,  2 867,  3 351,  3 964,  5 660,  80 426,  13 282
Hakkari,  85 942,  8 628,  2 910,  5 611,  11 254,  1 290,  1 018,  1 825,  2 661,  42 150,  8 595
Gaziantep,  244 352,  8 221,  9 451,  14 590,  45 301,  3 673,  4 290,  7 004,  9 575,  118 726,  23 521
Adıyaman,  195 643,  5 861,  7 269,  15 130,  35 712,  3 182,  2 952,  5 428,  7 512,  96 108,  16 489
Kilis,  57 354,  2 880,  2 001,  3 225,  13 316,   735,   926,  1 485,  2 185,  25 319,  5 282
Şanlıurfa,  231 099,  8 868,  8 448,  15 005,  42 797,  3 648,  4 316,  6 650,  8 875,  109 929,  22 563
Diyarbakır,  187 971,  8 014,  7 081,  12 779,  32 516,  2 888,  2 594,  5 646,  7 309,  91 872,  17 272
Mardin,  183 106,  5 009,  6 823,  11 560,  35 265,  2 422,  2 696,  5 402,  6 426,  92 351,  15 152
Batman,  141 868,  4 132,  5 578,  9 460,  28 087,  2 023,  2 672,  4 392,  4 932,  68 412,  12 180
Şırnak,  129 685,  2 326,  5 362,  10 026,  23 930,  1 922,  2 017,  4 026,  5 253,  64 132,  10 691
Siirt,  101 750,  1 966,  3 709,  6 719,  19 708,  1 406,  1 602,  2 827,  4 007,  49 662,  10 144
"TÜİK, Kütüphane İstatistikleri, 2022",,,,,,,,,,,
"TurkStat, Library Statistics, 2022",,,,,,,,,,,
Kaynak: Kütüphaneler ve Yayımlar Genel Müdürlüğü,,,,,,,,,,,
Source: General Directorate of Libraries and Publications,,,,,,,,,,,
